"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"528433935370313728","","","2014-11-01 06:30:42 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BasedMiggyB: It irritates me so much that a Walter white costume is considered an Ebola costume.","528268312614957057","452520585","2014-10-31 19:32:35 +0000",""
"524431291123392512","","","2014-10-21 05:25:37 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SpongeBobVlnes: THIS GOES HARD AF https://t.co/ND0OWJzmlZ","524353121607507968","2747422978","2014-10-21 00:15:00 +0000","https://vine.co/v/Ob1I6qF70PY,https://vine.co/v/Ob1I6qF70PY"
"523349960629444610","","","2014-10-18 05:48:48 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BasedMiggyB: ""@TheRaceDraft: I'm so weak https://t.co/YSDCEl6u3Z"" @emac_gomez  @jchdrose25  @LilFultzy","523243534074527744","452520585","2014-10-17 22:45:54 +0000","https://vine.co/v/OK59VWYWQQj,https://vine.co/v/OK59VWYWQQj"
"523349856191275008","","","2014-10-18 05:48:23 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BasedMiggyB: We all blessed my nigga.","523256023193501697","452520585","2014-10-17 23:35:32 +0000",""
"523349829888794624","","","2014-10-18 05:48:17 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BasedMiggyB: Holy shots.","523341533144051712","452520585","2014-10-18 05:15:19 +0000",""
"501644231656894464","","","2014-08-19 08:17:59 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/RZDm2Ue9QI","","","","https://twitter.com/nicholiswood/status/501644231656894464/photo/1"
"500306859606425600","","","2014-08-15 15:43:45 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/V2VywRi8dy","","","","https://twitter.com/nicholiswood/status/500306859606425600/photo/1"
"500306761862373376","","","2014-08-15 15:43:21 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/6G3EZDi1aS","","","","https://twitter.com/nicholiswood/status/500306761862373376/photo/1"
"499596450334928896","","","2014-08-13 16:40:50 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/NLRtWocUbE","","","","https://twitter.com/nicholiswood/status/499596450334928896/photo/1"
"499596376767209472","","","2014-08-13 16:40:32 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/IZmGCEabxN","","","","https://twitter.com/nicholiswood/status/499596376767209472/photo/1"
"498840569150717952","","","2014-08-11 14:37:14 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/v377PQKFBc","","","","https://twitter.com/nicholiswood/status/498840569150717952/photo/1"
